Holdings details

FTSE Emerging Markets ETF (VWO)


Equity,as of 08/31/2026

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,BW1YVH8,Wal-Mart de Mexico SAB de CV,WALMEX*,0.11%,Consumer Staples Merchandise Retail,MX,---,"$195,494,117.34","70,590,737"
,6291819,China Petroleum & Chemical Corp,386,0.11%,Integrated Oil & Gas,HK,---,"$192,076,165.06","315,246,822"
,BV9B624,Axia Energia SA,AXIA3,0.11%,Electric Utilities,BR,---,"$191,682,759.58","18,697,549"
,BN6PP37,Pop Mart International Group Ltd,9992,0.11%,Other Specialty Retail,HK,---,"$190,174,630.65","9,580,800"
,BN2BD13,Yum China Holdings Inc,9987,0.11%,Restaurants,HK,---,"$187,398,857.82","4,187,450"
,6287841,Chunghwa Telecom Co Ltd,2412,0.11%,Integrated Telecommunication Services,TW,---,"$187,051,542.31","43,632,556"
,BLC90T0,Kuaishou Technology,1024,0.11%,Interactive Media & Services,HK,---,"$186,997,698.13","43,939,100"
,6545464,Abu Dhabi Commercial Bank PJSC,ADCB,0.10%,Diversified Banks,AE,---,"$182,279,084.56","44,712,639"
,BW9DW63,Eurobank SA,EUROB,0.10%,Diversified Banks,GR,---,"$180,674,214.05","34,061,241"
,BYQKH33,Grasim Industries Ltd,GRASIM,0.10%,Construction Materials,IN,---,"$179,847,084.64","5,085,380"
,BVLKBV3,Piraeus Bank SA,TPEIR,0.10%,Diversified Banks,GR,---,"$179,177,034.94","15,059,483"
,6602518,Divi's Laboratories Ltd,DIVI,0.10%,Life Sciences Tools & Services,IN,---,"$178,592,998.05","1,797,465"
,BCRWL65,Asian Paints Ltd,APNT,0.10%,Specialty Chemicals,IN,---,"$178,287,048.34","6,414,173"
,B1FFT76,Impala Platinum Holdings Ltd,IMP,0.10%,Precious Metals & Minerals,ZA,---,"$178,233,499.42","12,739,451"
,6107585,Gold Circuit Electronics Ltd,2368,0.10%,Electronic Components,TW,---,"$178,007,945.61","4,852,001"
,B233HS6,Power Grid Corp of India Ltd,PWGR,0.10%,Electric Utilities,IN,---,"$177,241,291.21","64,045,806"
,6580119,First Financial Holding Co Ltd,2892,0.10%,Diversified Banks,TW,---,"$176,423,511.68","158,543,389"
,BZBZVC7,Banco BTG Pactual SA,BPAC11,0.10%,Diversified Capital Markets,BR,---,"$175,906,267.98","16,659,973"
,BG7ZWY7,Ambev SA,ABEV3,0.10%,Brewers,BR,---,"$175,190,690.02","60,396,495"
,B28XXH2,Adani Ports & Special Economic Zone Ltd,ADSEZ,0.10%,Marine Ports & Services,IN,---,"$174,043,068.81","10,414,085"
,6728469,Phison Electronics Corp,8299,0.10%,Semiconductors,TW,---,"$174,002,825.66","2,550,326"
,B5SG8Y4,Bizlink Holding Inc,3665,0.10%,Electrical Components & Equipment,TW,---,"$172,456,476.42","2,524,201"
,6709099,Bank Rakyat Indonesia Persero Tbk PT,BBRI,0.10%,Diversified Banks,ID,---,"$172,253,360.56","939,125,560"
,B1YVKN8,ANTA Sports Products Ltd,2020,0.10%,"Apparel, Accessories & Luxury Goods",HK,---,"$171,432,436.29","17,344,805"
,6411877,Hua Nan Financial Holdings Co Ltd,2880,0.10%,Diversified Banks,TW,---,"$171,095,360.92","131,218,587"
,BZBYJJ7,JSW Steel Ltd,JSTL,0.10%,Steel,IN,---,"$170,657,219.60","12,445,597"
,B734XQ4,Zhen Ding Technology Holding Ltd,4958,0.10%,Electronic Components,TW,---,"$169,811,732.45","10,790,107"
,B1324D0,Saudi Basic Industries Corp,SABIC,0.10%,Commodity Chemicals,SA,---,"$167,897,805.47","12,789,348"
,BN7SX97,KE Holdings Inc,2423,0.10%,Real Estate Services,HK,---,"$167,456,043.48","29,072,650"
,6700393,Uni-President Enterprises Corp,1216,0.09%,Packaged Foods & Meats,TW,---,"$167,249,683.47","69,636,552"
,BMW4CV8,Eicher Motors Ltd,EIM,0.09%,Motorcycle Manufacturers,IN,---,"$166,155,799.17","1,989,851"
,BM8SKZ4,ACWA Power Co,ACWA,0.09%,Independent Power Producers & Energy Traders,SA,---,"$164,223,372.15","3,220,602"
,B0CC0M5,Innolux Corp,3481,0.09%,Electronic Components,TW,---,"$163,258,980.46","103,850,545"
,6716538,Taiwan Union Technology Corp,6274,0.09%,Electronic Components,TW,---,"$160,886,881.92","3,560,907"
,BV2DVP5,Adani Power Ltd,ADANI,0.09%,Independent Power Producers & Energy Traders,IN,---,"$160,425,431.15","77,202,772"
,BQB8GH3,Nestle India Ltd,NEST,0.09%,Packaged Foods & Meats,IN,---,"$159,582,797.68","10,158,862"
,BTRD974,Embraer SA,EMBJ3,0.09%,Aerospace & Defense,BR,---,"$159,182,063.69","8,822,439"
,BRB3857,Hua Hong Grace Semiconductor Ltd,1347,0.09%,Semiconductors,HK,---,"$158,753,893.96","10,159,606"
,6888794,KASIKORNBANK PCL-FOREIGN,KBANK/F,0.09%,Diversified Banks,TH,---,"$158,202,498.61","21,160,135"
,6051422,Realtek Semiconductor Corp,2379,0.09%,Semiconductors,TW,---,"$157,023,715.35","6,904,557"
,BHQPSY7,Contemporary Amperex Technology Co Ltd,300750,0.09%,Electrical Components & Equipment,CN,---,"$156,312,734.20","2,892,609"
,6193766,China Resources Land Ltd,1109,0.09%,Real Estate Development,HK,---,"$156,146,918.23","40,833,825"
,BFX05H3,Absa Group Ltd,ABG,0.09%,Diversified Banks,ZA,---,"$154,306,207.51","10,864,889"
,6713982,Qatar Islamic Bank QPSC,QIBK,0.09%,Diversified Banks,QA,---,"$154,125,059.60","25,872,457"
,B12LZW4,Riyad Bank,RIBL,0.09%,Diversified Banks,SA,---,"$154,053,999.25","27,802,320"
