Holdings details

FTSE Developed Markets ETF (VEA)


Equity,as of 08/31/2026

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,BMV7PQ4,Investor AB,INVEB,0.23%,Multi-Sector Holdings,SE,---,"$762,142,891.89","17,714,540"
,6610403,Murata Manufacturing Co Ltd,6981,0.23%,Electronic Components,JP,---,"$757,469,008.08","17,044,715"
,5294121,Muenchener Rueckversicherungs-Gesellschaft AG in Muenchen,MUV2,0.23%,Reinsurance,DE,---,"$754,816,095.03","1,255,745"
,6597302,Mitsui & Co Ltd,8031,0.23%,Trading Companies & Distributors,JP,---,"$750,079,357.66","24,024,030"
,BYYHL23,Anheuser-Busch InBev SA/NV,ABI,0.22%,Brewers,BE,---,"$734,417,645.60","9,280,678"
,BNM23Q1,Barrick Mining Corp,ABX,0.22%,Gold,CA,---,"$733,326,046.28","16,350,599"
,BP9DL90,Industria de Diseno Textil SA,ITX,0.22%,Apparel Retail,ES,---,"$732,061,665.48","10,890,320"
,BM8PJY7,NatWest Group PLC,NWG,0.22%,Diversified Banks,GB,---,"$710,805,960.65","78,174,470"
,B1YW1V6,Air Liquide SA,AIRB,0.21%,Industrial Gases,FR,---,"$700,414,600.47","3,560,387"
,2492519,Manulife Financial Corp,MFC,0.21%,Life & Health Insurance,CA,---,"$695,186,415.87","16,388,733"
,6804585,Shin-Etsu Chemical Co Ltd,4063,0.21%,Specialty Chemicals,JP,---,"$675,339,800.89","18,037,620"
,5750355,Deutsche Bank AG,DBK,0.21%,Diversified Capital Markets,DE,---,"$674,755,142.85","16,848,024"
,6597045,Mitsubishi Electric Corp,6503,0.20%,Heavy Electrical Equipment,JP,---,"$674,255,445.38","19,472,114"
,BF13KN5,Wheaton Precious Metals Corp,WPM,0.20%,Gold,CA,---,"$670,850,321.66","4,450,979"
,2180632,Canadian National Railway Co,CNR,0.20%,Rail Transportation,CA,---,"$664,833,639.89","5,324,624"
,BMG3GS6,SK Square Co Ltd,402340,0.20%,Industrial Conglomerates,KR,---,"$654,649,848.92","875,618"
,BFM0SV9,Nordea Bank Abp,NDA,0.20%,Diversified Banks,FI,---,"$642,620,290.29","31,484,847"
